OrderNumber,Month,DayNite,SalesPerson,ProductID,ShoeBrand,ShoeStyle,ShoeColor,ShoeGender,Price,StoreCity,CustGender,CustAge,OnSale,discount,AgeGP,Cost
MEM1,January,AM,Bob,455339,Adidas,Powerblaze,Black/White,M,74.95,MEMPHIS,M,58,N,0,Over 55,58.9
MEM2,January,AM,Cindy,407696,ASICS,GEL-Evate? 3,Aqua/Yellow,W,149.95,MEMPHIS,F,23,N,0,18-25,44.73
GER3,January,PM,Bob,407809,ASICS,GEL-Hyper Speed? 6,Blue,M,84.95,GERMANTOWN,M,50,N,0,45-55,30.8
MEM4,January,PM,Karen,200121,Nike,Air Jordan 2,Black/Red/Aqua,W,130,MEMPHIS,F,12,N,0,18-25,100.38
MEM5,January,PM,Bob,424073,New Balance,M870v4,Grey/White,M,114.95,MEMPHIS,M,29,N,0,26-35,90.48
MEM6,January,PM,Karen,387367,New Balance,W1260v4,Red/Blue,M,144.95,MEMPHIS,M,24,N,0,18-25,100.2
MEM7,January,PM,Shelly,200231,Nike,Air Jordan,Red,M,159.99,MEMPHIS,M,38,N,0,36-45,95.02
BAR8,January,AM,Bob,455341,Adidas,Thrasher Trail 1.1,Grey,M,64.95,BARTLETT,M,64,N,0,Over 55,58.63
MEM9,January,AM,Kevin,200213,Nike,Air Jordan 2,Black/Grey,M,174.99,MEMPHIS,M,19,N,0,18-25,166.52
MEM10,January,AM,Cindy,382160,ASICS,GEL-Zaraca?,Aqua/Yellow,W,67.99,MEMPHIS,F,62,N,0,Over 55,75.14
MEM11,January,PM,Ashley,407669,ASICS,GEL-Nimbus? 17,Purple/Pink,W,149.95,MEMPHIS,F,23,N,0,18-25,78.52
MEM12,January,PM,Bob,200261,Nike,Free 4.0 Flyknit,Orange/Aqua,M,94.97,MEMPHIS,M,43,N,0,36-45,94.59
GER13,January,PM,Bob,200261,Nike,Free 4.0 Flyknit,Orange/Aqua,M,94.97,GERMANTOWN,M,43,N,0,36-45,81.44
MEM14,January,PM,Bob,200261,Nike,Free 4.0 Flyknit,Orange/Aqua,M,94.97,MEMPHIS,M,43,N,0,36-45,84.79
MEM15,January,PM,Bob,410734,New Balance,M1980 Fresh Foam,Grey/Yellow,M,99.95,MEMPHIS,M,22,N,0,18-25,59.36
MEM16,January,PM,Karen,410770,New Balance,W587,Red/Blue,M,92.97,MEMPHIS,M,24,N,0,18-25,32.55
GER17,January,PM,Shelly,200237,Nike,Air Jordan,Red,M,159.99,GERMANTOWN,M,37,N,0,36-45,74.15
MEM18,January,AM,Bob,364567,ASICS,GEL-Foundation? 8,Aqua,M,93.99,MEMPHIS,M,44,N,0,36-45,19.85
MEM19,January,PM,Cindy,363890,ASICS,GEL-Excite? 2,White,W,69.95,MEMPHIS,F,62,N,0,Over 55,25.41
GER20,January,PM,Bob,200255,Nike,Nike Air Zoom Streak 5,Orange/Black,M,100,GERMANTOWN,M,36,N,0,36-45,40.92
MEM21,January,PM,Kevin,407694,ASICS,GEL-Sonoma?,Blue/White,M,74.95,MEMPHIS,M,58,N,0,Over 55,23.08
GER22,January,PM,Kevin,410761,New Balance,M775,Orange,M,74.95,GERMANTOWN,M,32,N,0,26-35,66
GER23,January,PM,Karen,424070,New Balance,W1400v3,White,W,99.95,GERMANTOWN,F,41,N,0,36-45,81.7
MEM24,January,PM,Shelly,200291,Nike,Air Jordan,Red,M,159.99,MEMPHIS,M,38,N,0,36-45,89.43
MEM25,January,AM,Bob,345795,ASICS,GEL-Equation? 7,Aqua/Black/White,M,69.99,MEMPHIS,M,17,N,0,18-25,54.35
MEM26,January,PM,Karen,363956,ASICS,GEL-Hyper Speed? 6,Black,W,75.99,MEMPHIS,F,30,N,0,26-35,73.87
MEM27,January,PM,Ashley,363961,ASICS,GEL-Speedstar?,Red/Blue,W,79.99,MEMPHIS,F,22,N,0,18-25,60.91
MEM28,January,PM,Mandeep,200260,Nike,LeBron Xiii,Orange/Black,M,200,MEMPHIS,M,17,N,0,18-25,112.95
MEM29,January,PM,Mandeep,200260,Nike,LeBron Xiii,Orange/Black,M,200,MEMPHIS,M,17,N,0,18-25,129.49
MEM30,January,PM,Kevin,365722,New Balance,MT10v2 Minimus,Orange/Black,M,96.99,MEMPHIS,M,42,N,0,36-45,43.71
